"역번호","역명","외부역번호","호선","문화공간여부","휠체어리프트여부","만남의장소여부","환승주차장여부","자전거보관소여부","엘리베이터여부","유인물품보관소여부","무인민원발급기여부","환전키오스크여부","수유실여부"
"0150",서울역,"133","01호선",N,N,Y,N,N,Y,Y,N,N,N
"0151",시청,"132","01호선",N,N,Y,N,N,Y,N,N,N,Y
"0152",종각,"131","01호선",N,N,N,N,Y,Y,N,Y,N,N
"0153",종로3가,"130","01호선",Y,N,N,N,N,Y,N,N,N,Y
"0154",종로5가,"129","01호선",N,N,N,N,N,Y,N,N,N,N
"0155",동대문,"128","01호선",N,N,Y,N,Y,Y,N,N,N,Y
"0156",신설동,"126","01호선",N,N,N,N,N,Y,N,N,N,N
"0157",제기동,"125","01호선",N,N,N,N,Y,Y,N,N,N,N
"0158",청량리,"124","01호선",N,N,N,N,N,Y,N,N,N,N
"0159",동묘앞,"127","01호선",N,N,N,N,Y,Y,N,N,N,N
"0200",까치산,"234-4","02호선",N,Y,N,N,N,N,N,N,N,Y
"0201",시청,"201","02호선",N,N,N,N,N,Y,N,N,N,Y
"0202",을지로입구,"202","02호선",N,N,N,N,N,Y,N,Y,Y,N
"0203",을지로3가,"203","02호선",N,N,N,N,N,Y,N,N,Y,N
"0204",을지로4가,"204","02호선",N,N,Y,N,N,Y,N,N,N,N
"0205",동대문역사문화공원,"205","02호선",N,N,N,N,Y,Y,N,N,Y,N
"0206",신당,"206","02호선",N,N,Y,N,N,Y,N,N,N,N
"0207",상왕십리,"207","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0208",왕십리,"208","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0209",한양대,"209","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0210",뚝섬,"210","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0211",성수,"211","02호선",Y,N,Y,N,Y,Y,N,Y,N,Y
"0212",건대입구,"212","02호선",N,N,Y,N,Y,Y,N,Y,N,N
"0213",구의,"213","02호선",N,N,Y,N,Y,Y,N,Y,N,N
"0214",강변,"214","02호선",N,N,N,N,Y,Y,N,N,N,Y
"0215",잠실나루,"215","02호선",N,N,Y,Y,Y,Y,N,N,N,N
"0216",잠실,"216","02호선",N,N,N,N,Y,Y,Y,N,Y,Y
"0217",잠실새내,"217","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0218",종합운동장,"218","02호선",Y,N,Y,N,N,Y,Y,N,N,N
"0219",삼성,"219","02호선",N,N,N,N,Y,Y,N,Y,Y,Y
"0220",선릉,"220","02호선",Y,N,N,N,N,Y,N,Y,Y,N
"0221",역삼,"221","02호선",N,N,Y,N,N,Y,N,Y,Y,N
"0222",강남,"222","02호선",N,N,N,N,N,Y,N,Y,Y,Y
"0223",교대,"223","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0224",서초,"224","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0225",방배,"225","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0226",사당,"226","02호선",Y,N,Y,Y,Y,Y,N,N,N,N
"0227",낙성대,"227","02호선",N,N,Y,N,N,Y,N,Y,N,N
"0228",서울대입구,"228","02호선",Y,N,Y,N,Y,Y,N,Y,N,N
"0229",봉천,"229","02호선",N,N,N,N,N,Y,N,Y,N,N
"0230",신림,"230","02호선",N,N,Y,Y,Y,Y,N,Y,N,Y
"0231",신대방,"231","02호선",N,N,Y,Y,Y,Y,N,N,N,N
"0232",구로디지털단지,"232","02호선",N,N,Y,Y,Y,Y,N,Y,N,N
"0233",대림,"233","02호선",N,N,Y,N,Y,Y,N,N,N,Y
"0234",신도림,"234","02호선",N,N,N,N,Y,Y,N,N,N,N
"0235",문래,"235","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0236",영등포구청,"236","02호선",N,N,Y,Y,N,Y,N,N,N,Y
"0237",당산,"237","02호선",N,N,Y,N,N,Y,N,Y,N,N
"0238",합정,"238","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0239",홍대입구,"239","02호선",N,N,Y,N,Y,Y,Y,N,Y,N
"0240",신촌,"240","02호선",N,N,Y,N,N,Y,N,Y,Y,Y
"0241",이대,"241","02호선",N,N,N,N,Y,Y,N,N,Y,N
"0242",아현,"242","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0243",충정로,"243","02호선",N,N,Y,N,N,Y,N,Y,N,N
"0244",용답,"211-1","02호선",N,N,N,N,Y,Y,N,N,N,N
"0245",신답,"211-2","02호선",N,N,N,N,Y,Y,N,N,N,N
"0246",신설동,"211-4","02호선",N,N,N,N,Y,Y,N,N,N,Y
"0247",도림천,"234-1","02호선",N,N,N,N,Y,Y,N,N,N,N
"0248",양천구청,"234-2","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0249",신정네거리,"234-3","02호선",N,N,Y,N,N,Y,N,N,N,N
"0250",용두,"211-3","02호선",N,N,N,N,Y,Y,N,N,N,N
"0309",지축,"319","03호선",N,N,N,N,Y,Y,N,N,N,N
"0310",구파발,"320","03호선",N,N,Y,Y,Y,Y,N,Y,N,Y
"0311",연신내,"321","03호선",N,N,N,N,Y,Y,N,Y,N,N
"0312",불광,"322","03호선",N,N,Y,N,Y,Y,N,Y,N,N
"0313",녹번,"323","03호선",N,N,N,N,Y,Y,N,N,N,N
"0314",홍제,"324","03호선",N,N,Y,N,Y,Y,N,Y,N,N
"0315",무악재,"325","03호선",N,N,Y,N,Y,Y,N,N,N,N
"0316",독립문,"326","03호선",N,N,N,N,Y,Y,N,N,N,Y
"0317",경복궁,"327","03호선",Y,N,Y,N,Y,Y,N,Y,Y,N
"0318",안국,"328","03호선",Y,N,Y,N,Y,Y,N,N,Y,N
"0319",종로3가,"329","03호선",N,N,Y,N,N,Y,N,N,N,Y
"0320",을지로3가,"330","03호선",N,N,Y,N,N,Y,N,N,N,N
"0321",충무로,"331","03호선",N,N,N,N,N,N,N,N,N,N
"0322",동대입구,"332","03호선",N,N,Y,N,N,Y,N,N,N,N
"0323",약수,"333","03호선",N,N,Y,N,N,Y,N,Y,N,N
"0324",금호,"334","03호선",Y,N,N,N,Y,Y,N,Y,N,N
"0325",옥수,"335","03호선",N,N,Y,N,Y,Y,N,Y,N,Y
"0326",압구정,"336","03호선",N,N,Y,N,Y,Y,N,Y,Y,N
"0327",신사,"337","03호선",N,N,Y,N,Y,Y,N,Y,Y,N
"0328",잠원,"338","03호선",N,N,Y,N,Y,Y,N,N,N,N
"0329",고속터미널,"339","03호선",N,N,N,N,N,Y,N,N,Y,Y
"0330",교대,"340","03호선",N,N,Y,N,Y,Y,N,Y,N,N
"0331",남부터미널,"341","03호선",N,N,Y,N,N,Y,N,N,N,N
"0332",양재,"342","03호선",N,N,N,N,N,Y,N,N,N,Y
"0333",매봉,"343","03호선",N,N,N,N,N,Y,N,N,N,N
"0334",도곡,"344","03호선",N,N,Y,N,Y,N,N,N,N,Y
"0335",대치,"345","03호선",N,N,N,N,Y,Y,N,N,N,N
"0336",학여울,"346","03호선",N,N,Y,Y,Y,Y,N,N,N,N
"0337",대청,"347","03호선",N,N,Y,N,Y,Y,N,N,N,N
"0338",일원,"348","03호선",N,N,Y,Y,Y,Y,N,N,N,N
"0339",수서,"349","03호선",Y,N,Y,Y,Y,Y,Y,N,N,N
"0340",가락시장,"350","03호선",N,N,N,N,N,Y,N,N,N,N
"0341",경찰병원,"351","03호선",N,N,N,N,N,Y,N,N,N,N
"0342",오금,"352","03호선",N,N,N,N,N,Y,N,N,N,N
"0409",불암산,"409","04호선",N,N,N,N,Y,Y,N,N,N,N
"0410",상계,"410","04호선",N,N,Y,N,Y,Y,N,N,N,N
"0411",노원,"411","04호선",N,N,Y,N,Y,Y,N,N,N,Y
"0412",창동,"412","04호선",N,N,N,Y,Y,Y,N,Y,N,N
"0413",쌍문,"413","04호선",N,N,Y,N,Y,Y,N,Y,N,N
"0414",수유,"414","04호선",N,N,Y,N,N,Y,N,Y,N,N
"0415",미아,"415","04호선",N,N,Y,N,Y,Y,N,Y,N,N
"0416",미아사거리,"416","04호선",Y,N,Y,N,Y,Y,N,Y,N,Y
"0417",길음,"417","04호선",N,N,Y,N,Y,Y,N,Y,N,Y
"0418",성신여대입구,"418","04호선",N,N,N,N,Y,Y,N,N,N,N
"0419",한성대입구,"419","04호선",N,N,Y,N,N,Y,N,Y,N,N
"0420",혜화,"420","04호선",Y,N,Y,N,Y,Y,N,Y,N,N
"0421",동대문,"421","04호선",N,N,N,N,N,Y,N,N,Y,N
"0422",동대문역사문화공원,"422","04호선",Y,N,N,N,N,Y,N,N,Y,Y
"0423",충무로,"423","04호선",Y,N,Y,N,N,Y,N,N,Y,N
"0424",명동,"424","04호선",N,N,N,N,N,Y,Y,N,Y,N
"0425",회현,"425","04호선",N,N,N,N,N,Y,N,N,Y,N
"0426",서울역,"426","04호선",N,N,N,N,N,Y,N,N,Y,Y
"0427",숙대입구,"427","04호선",N,N,Y,N,N,Y,N,N,N,N
"0428",삼각지,"428","04호선",N,N,Y,N,N,Y,N,N,N,N
"0429",신용산,"429","04호선",N,N,Y,N,N,Y,N,N,N,N
"0430",이촌,"430","04호선",N,N,Y,N,N,Y,N,N,N,Y
"0431",동작,"431","04호선",N,N,Y,N,Y,Y,N,N,N,N
"0432",총신대입구,"432","04호선",N,N,Y,N,N,Y,N,N,N,N
"0433",사당,"433","04호선",N,N,N,Y,N,Y,N,N,N,Y
"0434",남태령,"434","04호선",N,N,N,N,N,Y,N,N,N,N
"2511",방화,"510","25호선",N,N,N,Y,Y,Y,N,N,N,N
"2512",개화산,"511","25호선",N,N,Y,Y,Y,Y,N,N,N,N
"2513",김포공항,"512","25호선",N,N,N,N,Y,Y,Y,N,Y,Y
"2514",송정,"513","25호선",N,N,Y,N,Y,Y,N,N,N,N
"2515",마곡,"514","25호선",N,N,N,N,Y,Y,N,N,N,N
"2516",발산,"515","25호선",N,N,Y,N,Y,Y,N,N,N,N
"2517",우장산,"516","25호선",N,N,N,N,Y,Y,N,N,N,Y
"2518",화곡,"517","25호선",N,N,Y,N,Y,Y,N,Y,N,N
"2519",까치산,"518","25호선",N,N,N,N,Y,Y,N,Y,N,Y
"2520",신정,"519","25호선",N,N,Y,N,Y,Y,N,Y,N,N
"2521",목동,"520","25호선",N,N,Y,N,Y,Y,N,Y,N,Y
"2522",오목교,"521","25호선",Y,N,N,N,Y,Y,N,Y,N,N
"2523",양평,"522","25호선",N,N,N,N,Y,Y,N,N,N,N
"2524",영등포구청,"523","25호선",N,N,N,Y,Y,Y,N,N,N,Y
"2525",영등포시장,"524","25호선",Y,N,N,N,Y,Y,N,N,N,N
"2526",신길,"525","25호선",N,N,Y,Y,Y,Y,N,N,N,Y
"2527",여의도,"526","25호선",N,N,Y,N,Y,Y,N,Y,Y,Y
"2528",여의나루,"527","25호선",N,N,N,N,Y,Y,N,N,N,Y
"2529",마포,"528","25호선",N,N,N,Y,Y,Y,N,N,N,N
"2530",공덕,"529","25호선",N,N,Y,N,Y,Y,N,Y,N,Y
"2531",애오개,"530","25호선",N,N,N,N,Y,Y,N,N,N,N
"2532",충정로,"531","25호선",N,N,Y,N,Y,Y,N,N,N,Y
"2533",서대문,"532","25호선",N,N,N,N,Y,Y,N,N,N,N
"2534",광화문,"533","25호선",Y,N,Y,N,Y,Y,N,N,Y,Y
"2535",종로3가,"534","25호선",N,N,Y,N,Y,Y,Y,N,N,N
"2536",을지로4가,"535","25호선",N,N,N,N,N,Y,N,N,N,N
"2537",동대문역사문화공원,"536","25호선",Y,N,N,N,N,Y,N,N,N,Y
"2538",청구,"537","25호선",N,N,Y,N,Y,Y,N,Y,N,Y
"2539",신금호,"538","25호선",Y,N,Y,N,Y,Y,N,N,N,N
"2540",행당,"539","25호선",N,N,Y,N,Y,Y,N,N,N,N
"2541",왕십리,"540","25호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2542",마장,"541","25호선",N,N,Y,N,Y,Y,N,N,N,N
"2543",답십리,"542","25호선",N,N,Y,N,Y,Y,N,N,N,Y
"2544",장한평,"543","25호선",N,N,Y,N,Y,Y,N,N,N,N
"2545",군자,"544","25호선",N,Y,Y,N,Y,Y,N,Y,N,Y
"2546",아차산,"545","25호선",N,Y,Y,N,Y,Y,N,Y,N,Y
"2547",광나루,"546","25호선",N,N,Y,N,Y,Y,N,Y,N,N
"2548",천호,"547","25호선",N,N,Y,Y,Y,Y,N,Y,N,Y
"2549",강동,"548","25호선",N,N,Y,Y,Y,Y,N,N,N,Y
"2550",길동,"549","25호선",N,N,Y,N,Y,Y,N,Y,N,N
"2551",굽은다리,"550","25호선",N,N,Y,N,Y,Y,N,Y,N,N
"2552",명일,"551","25호선",N,N,Y,N,Y,Y,N,Y,N,N
"2553",고덕,"552","25호선",Y,N,Y,Y,Y,Y,N,Y,N,Y
"2554",상일동,"553","25호선",N,N,Y,N,Y,Y,N,Y,N,N
"2555",둔촌동,P549,"25호선",N,N,Y,N,Y,Y,N,Y,N,N
"2556",올림픽공원,P550,"25호선",N,N,Y,N,Y,Y,N,N,N,Y
"2557",방이,P551,"25호선",N,N,Y,N,Y,Y,N,N,N,N
"2558",오금,P552,"25호선",N,N,N,N,N,Y,N,N,N,N
"2559",개롱,P553,"25호선",N,N,N,N,Y,Y,N,N,N,N
"2560",거여,P554,"25호선",N,N,Y,N,Y,Y,N,N,N,Y
"2561",마천,P555,"25호선",N,N,Y,N,Y,Y,N,N,N,N
"2562",강일,"554","25호선",N,N,Y,N,N,Y,N,N,N,Y
"2563",미사,"555","25호선",N,N,N,N,Y,Y,N,N,N,Y
"2564",하남풍산,"556","25호선",N,N,N,N,N,Y,N,N,N,Y
"2565",하남시청,"557","25호선",N,N,Y,N,Y,Y,N,N,N,Y
"2566",하남검단산,"558","25호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2611",응암,"610","26호선",N,N,Y,N,Y,Y,N,Y,N,Y
"2612",역촌,"611","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2613",불광,"612","26호선",N,N,N,N,Y,Y,N,N,N,Y
"2614",독바위,"613","26호선",N,N,N,N,Y,Y,N,N,N,N
"2615",연신내,"614","26호선",N,N,N,N,N,Y,N,N,N,N
"2616",구산,"615","26호선",N,N,N,N,Y,Y,N,Y,N,N
"2617",새절,"616","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2618",증산,"617","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2619",디지털미디어시티,"618","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2620",월드컵경기장,"619","26호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2621",마포구청,"620","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2622",망원,"621","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2623",합정,"622","26호선",N,N,N,N,Y,Y,N,Y,N,Y
"2624",상수,"623","26호선",N,N,N,N,Y,Y,N,N,N,N
"2625",광흥창,"624","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2626",대흥,"625","26호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2627",공덕,"626","26호선",N,N,Y,N,N,Y,N,N,N,Y
"2628",효창공원앞,"627","26호선",N,N,N,N,Y,N,N,N,N,N
"2629",삼각지,"628","26호선",Y,N,N,N,Y,Y,N,N,N,Y
"2630",녹사평,"629","26호선",Y,N,Y,N,Y,Y,N,N,N,N
"2631",이태원,"630","26호선",N,N,N,N,Y,Y,N,N,Y,Y
"2632",한강진,"631","26호선",N,N,Y,Y,Y,Y,N,N,N,N
"2633",버티고개,"632","26호선",N,N,Y,N,Y,Y,N,Y,N,N
"2634",약수,"633","26호선",N,N,Y,N,Y,Y,N,N,N,Y
"2635",청구,"634","26호선",N,N,N,N,N,Y,N,N,N,Y
"2636",신당,"635","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2637",동묘앞,"636","26호선",N,N,Y,N,Y,Y,N,N,N,Y
"2638",창신,"637","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2639",보문,"638","26호선",N,N,Y,N,N,Y,N,N,N,N
"2640",안암,"639","26호선",N,N,Y,N,Y,Y,N,N,N,Y
"2641",고려대,"640","26호선",Y,N,Y,N,Y,Y,N,Y,N,N
"2642",월곡,"641","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2643",상월곡,"642","26호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2644",돌곶이,"643","26호선",N,N,Y,N,Y,Y,N,N,N,N
"2645",석계,"644","26호선",Y,N,Y,Y,N,Y,N,N,N,N
"2646",태릉입구,"645","26호선",N,N,Y,N,Y,Y,N,N,N,Y
"2647",화랑대,"646","26호선",N,N,N,N,Y,Y,N,N,N,N
"2648",봉화산,"647","26호선",N,N,Y,Y,Y,Y,N,N,N,N
"2649",신내,"648","26호선",N,N,N,N,N,Y,N,N,N,N
"2711",장암,"709","27호선",N,N,Y,Y,Y,Y,N,N,N,N
"2712",도봉산,"710","27호선",N,N,Y,Y,Y,Y,N,N,N,N
"2713",수락산,"711","27호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2714",마들,"712","27호선",N,N,N,N,Y,Y,N,Y,N,N
"2715",노원,"713","27호선",Y,N,Y,N,Y,Y,N,Y,N,Y
"2716",중계,"714","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2717",하계,"715","27호선",N,N,Y,N,N,Y,N,N,N,Y
"2718",공릉,"716","27호선",N,N,N,N,N,Y,N,N,N,N
"2719",태릉입구,"717","27호선",N,N,Y,N,Y,Y,N,N,N,Y
"2720",먹골,"718","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2721",중화,"719","27호선",N,N,Y,N,Y,Y,N,Y,N,N
"2722",상봉,"720","27호선",N,N,Y,N,Y,Y,N,N,N,Y
"2723",면목,"721","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2724",사가정,"722","27호선",N,Y,Y,N,Y,Y,N,N,N,
"2725",용마산,"723","27호선",N,N,N,N,Y,Y,N,N,N,N
"2726",중곡,"724","27호선",N,N,Y,N,Y,Y,N,Y,N,N
"2727",군자,"725","27호선",N,N,Y,N,Y,Y,N,N,N,Y
"2728",어린이대공원,"726","27호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2729",건대입구,"727","27호선",N,N,N,N,Y,Y,N,N,N,N
"2730",자양,"728","27호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2731",청담,"729","27호선",Y,N,Y,N,Y,Y,N,N,N,N
"2732",강남구청,"730","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2733",학동,"731","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2734",논현,"732","27호선",N,N,Y,N,Y,Y,N,N,N,Y
"2735",반포,"733","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2736",고속터미널,"734","27호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2737",내방,"735","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2738",이수,"736","27호선",Y,N,Y,N,Y,Y,N,N,N,Y
"2739",남성,"737","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2740",숭실대입구,"738","27호선",N,N,N,N,Y,Y,N,Y,N,N
"2741",상도,"739","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2742",장승배기,"740","27호선",N,N,Y,N,N,Y,N,N,N,N
"2743",신대방삼거리,"741","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2744",보라매,"742","27호선",N,N,Y,N,Y,Y,N,N,N,N
"2745",신풍,"743","27호선",N,N,N,N,Y,Y,N,N,N,N
"2746",대림,"744","27호선",N,N,N,Y,Y,Y,N,Y,Y,Y
"2747",남구로,"745","27호선",N,N,Y,N,Y,N,N,N,N,N
"2748",가산디지털단지,"746","27호선",Y,N,Y,N,Y,Y,N,Y,N,Y
"2749",철산,"747","27호선",N,N,Y,N,Y,Y,N,Y,N,N
"2750",광명사거리,"748","27호선",N,N,Y,N,Y,Y,N,Y,N,Y
"2751",천왕,"749","27호선",N,N,Y,Y,Y,Y,N,Y,N,N
"2752",온수,"750","27호선",N,N,Y,N,Y,Y,N,Y,N,Y
"2810",암사역사공원,"809","28호선",N,N,N,N,N,,N,N,N,Y
"2811",암사,"810","28호선",N,N,Y,N,Y,Y,N,Y,N,N
"2812",천호,"811","28호선",N,N,Y,Y,Y,Y,N,N,N,Y
"2813",강동구청,"812","28호선",N,N,Y,N,Y,Y,N,N,N,N
"2814",몽촌토성,"813","28호선",N,N,Y,N,Y,Y,N,N,N,Y
"2815",잠실,"814","28호선",N,N,N,Y,Y,Y,N,N,N,Y
"2816",석촌,"815","28호선",N,N,Y,N,Y,Y,N,N,N,N
"2817",송파,"816","28호선",N,N,N,N,Y,Y,N,N,N,N
"2818",가락시장,"817","28호선",N,N,N,N,Y,Y,N,N,N,Y
"2819",문정,"818","28호선",N,N,N,N,Y,Y,N,N,N,N
"2820",장지,"819","28호선",N,N,Y,N,Y,Y,N,Y,N,Y
"2821",복정,"820","28호선",N,N,Y,Y,Y,Y,N,N,N,N
"2822",산성,"822","28호선",N,N,Y,Y,Y,Y,N,N,N,N
"2823",남한산성입구,"823","28호선",N,N,Y,N,Y,Y,N,N,N,Y
"2824",단대오거리,"824","28호선",N,N,Y,N,Y,Y,N,N,N,N
"2825",신흥,"825","28호선",N,N,N,N,Y,Y,N,N,N,N
"2826",수진,"826","28호선",N,N,N,N,Y,Y,N,N,N,N
"2827",모란,"827","28호선",N,N,N,N,Y,Y,N,N,N,Y
"2828",남위례,"821","28호선",N,N,N,N,Y,Y,N,Y,N,Y
"4126",언주,"926","41호선",N,N,N,N,N,Y,N,N,N,Y
"4127",선정릉,"927","41호선",N,N,N,N,N,Y,N,N,N,N
"4128",삼성중앙,"928","41호선",N,N,N,N,N,Y,N,N,N,Y
"4129",봉은사,"929","41호선",N,N,N,N,N,Y,N,N,N,Y
"4130",종합운동장,"930","41호선",N,N,N,N,N,Y,N,N,N,Y
"4131",삼전,"931","41호선",N,N,N,N,N,Y,N,N,N,Y
"4132",석촌고분,"932","41호선",N,N,N,N,N,Y,N,N,N,Y
"4133",석촌,"933","41호선",N,N,N,N,N,Y,N,N,N,Y
"4134",송파나루,"934","41호선",N,N,N,N,N,Y,N,N,N,Y
"4135",한성백제,"935","41호선",N,N,N,N,N,Y,N,N,N,Y
"4136",올림픽공원,"936","41호선",N,N,N,N,N,Y,N,N,N,Y
"4137",둔촌오륜,"937","41호선",N,N,N,N,N,Y,N,N,N,Y
"4138",중앙보훈병원,"938","41호선",N,N,N,N,N,Y,N,N,N,Y
